,Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque,INTERBLOQUE
0,Aguirre,Hilda Clelia,LA RIOJA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
1,Alderete,Juan Carlos,BUENOS AIRES,19/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
2,Alianiello,Eugenia,CHUBUT,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
3,Allende,Walberto,SAN JUAN,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
4,Alonso,Constanza María,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
5,Aparicio,Alicia N.,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
6,Arricau,Carolina Natalia,BUENOS AIRES,01/12/2022,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
7,Arroyo,Daniel,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
8,Aubone,Ana Fabiola,SAN JUAN,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
9,Barbaro,Héctor 'Cacho',MISIONES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
10,Bermejo,Adolfo,MENDOZA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
11,Bertoldi,Tanya,NEUQUEN,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
12,Bertone,Rosana Andrea,TIERRA DEL FUEGO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
13,Borda,Fabian Antonio,CORRIENTES,16/12/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
14,Bormioli,Lisandro,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
15,Brawer,Mara,CIUDAD DE BUENOS AIRES,19/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
16,Britez,María Cristina,MISIONES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
17,Brue,Daniel Agustín,SANTIAGO DEL ESTERO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
18,Caliva,Lía Verónica,SALTA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
19,Calletti,Pamela,SALTA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
20,Caparros,Mabel Luisa,TIERRA DEL FUEGO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
21,Carnaghi,Guillermo Oscar,NEUQUEN,24/09/2020,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
22,Carrizo,Nilda Mabel,TUCUMAN,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
23,Carro,Pablo,CORDOBA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
24,Casaretto,Marcelo Pablo,ENTRE RIOS,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
25,Casas,Sergio Guillermo,LA RIOJA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
26,Caselles,Graciela María,SAN JUAN,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
27,Chaher,Leila,JUJUY,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
28,Chahla,Rossana,TUCUMAN,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
29,Chomiak,María Luisa,CHACO,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
30,Cisneros,Carlos Anibal,TUCUMAN,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
31,Cleri,Marcos,SANTA FE,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
32,Costa,Anahí,CATAMARCA,16/12/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
33,Daives,Ricardo Daniel,SANTIAGO DEL ESTERO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
34,Daldovo,Nelly Ramona,FORMOSA,19/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
35,Dantas,Pedro Cristian,RIO NEGRO,27/03/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
36,Estevez,Gabriela Beatriz,CORDOBA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
37,Estrada,Emiliano,SALTA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
38,Fagioli,Federico,BUENOS AIRES,19/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
39,Fernández,Agustin,TUCUMAN,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
40,Fernández,Eduardo,CORDOBA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
41,Fernández Patri,Ramiro,FORMOSA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
42,Gaillard,Ana Carolina,ENTRE RIOS,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
43,Ginocchio,Silvana Micaela,CATAMARCA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
44,Gioja,José Luis,SAN JUAN,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
45,Godoy,Lucas Javier,SALTA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
46,Gollán,Daniel,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
47,González,Gustavo Carlos Miguel,SANTA CRUZ,16/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
48,Grosso,Leonardo,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
49,Gutiérrez,Ramiro,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
50,Hagman,Itai,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
51,Heller,Carlos,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
52,Hernández,Estela,CHUBUT,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
53,Herrera,Ricardo,LA RIOJA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
54,Herrera,Bernardo José,SANTIAGO DEL ESTERO,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
55,Igon,Santiago Nicolás,CHUBUT,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
56,Iparraguirre,Rogelio,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
57,Kirchner,Máximo Carlos,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
58,Lampreabe,Florencia,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
59,Landriscini,Susana Graciela,RIO NEGRO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
60,Ledesma,Tomás,ENTRE RIOS,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
61,Leito,Mario,TUCUMAN,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
62,Leiva,Aldo Adolfo,CHACO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
63,Litza,Mónica,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
64,López Rodríguez,Dante,CATAMARCA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
65,Macha,Mónica,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
66,Marín,Varinia Lis,LA PAMPA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
67,Marino,Juan,BUENOS AIRES,02/08/2022,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
68,Martínez,Germán Pedro,SANTA FE,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
69,Martínez,María Rosa,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
70,Marziotta,Gisela,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
71,Masin,María Lucila,CHACO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
72,Massetani,Vanesa Laura,SANTA FE,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
73,Mastaler,Magalí,SANTA FE,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
74,Mirabella,Roberto,SANTA FE,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
75,Moisés,María Carolina,JUJUY,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
76,Montoto,María Luisa,SANTIAGO DEL ESTERO,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
77,Moran,Micaela,BUENOS AIRES,12/10/2022,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
78,Moreau,Cecilia,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
79,Moreau,Leopoldo,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
80,Moyano,Nilda,SANTIAGO DEL ESTERO,16/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
81,Navarro,Graciela,SANTIAGO DEL ESTERO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
82,Neder,Estela Mary,SANTIAGO DEL ESTERO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
83,Obeid,Alejandra del Huerto,SANTA FE,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
84,Ormachea,Claudia Beatriz,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
85,Osuna,Blanca Inés,ENTRE RIOS,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
86,Palazzo,Sergio Omar,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
87,Paponet,Liliana,MENDOZA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
88,Parola,María Graciela,FORMOSA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
89,Passo,Marcela Fabiana,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
90,Pedrali,Gabriela,LA RIOJA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
91,Pedrini,Juan Manuel,CHACO,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
92,Penacca,Paula Andrea,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
93,Pereyra,Julio,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
94,Pérez Araujo,Hernán,LA PAMPA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
95,Perez Plaza,Eber Albano,MENDOZA,27/03/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
96,Ponce,Carlos Ybrhain,SAN LUIS,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
97,Propato,Agustina Lucrecia,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
98,Romero,Jorge Antonio,CORRIENTES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
99,Sand,Nancy,CORRIENTES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
100,Santoro,Leandro,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
101,Selva,Carlos Américo,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
102,Siley,Vanesa Raquel,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
103,Souto,Natalia Marcela,BUENOS AIRES,26/10/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
104,Tailhade,Rodolfo,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
105,Toniolli,Eduardo,SANTA FE,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
106,Uceda,Marisa Lourdes,MENDOZA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
107,Valdes,Eduardo Félix,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
108,Vargas Matyi,Brenda,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
109,Verón,Jorge Guillermo,SANTA CRUZ,11/02/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
110,Vessvessian,Paola,SANTA CRUZ,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
111,Yambrún,Liliana Patricia,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
112,Yapor,Lucio,BUENOS AIRES,26/10/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
113,Yasky,Hugo,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
114,Yutrovic,Carolina,TIERRA DEL FUEGO,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
115,Zabala Chacur,Natalia,SAN LUIS,21/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
116,Zaracho,Natalia,BUENOS AIRES,16/12/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
117,PENDIENTE DE INCORPORACION,DIPUTADO,JUJUY,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
118,Aguirre,Manuel Ignacio,CORRIENTES,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
119,Arjol,Martín,MISIONES,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
120,Ascarate,Lidia Inés,TUCUMAN,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
121,Banfi,Karina,BUENOS AIRES,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
122,Barletta,Mario,SANTA FE,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
123,Bazze,Miguel Ángel,BUENOS AIRES,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
124,Benedetti,Atilio,ENTRE RIOS,05/07/2023,09/12/2025,UCR,JUNTOS POR EL CAMBIO
125,Buryaile,Ricardo,FORMOSA,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
126,Carasso,Marcos Gustavo,CORDOBA,16/12/2021,09/12/2023,UCR,JUNTOS POR EL CAMBIO
127,Carbajal,Fernando,FORMOSA,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
128,Carrizo,Soledad,CORDOBA,10/12/2021,09/12/2025,UCR,JUNTOS POR EL CAMBIO
129,Cipolini,Gerardo,CHACO,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
