,BLOQUE,APELLIDO,NOMBRE,PROVINCIA,PARTIDO O ALIANZA,Inicia_Mandato,Finaliza_Mandato
0,FRENTE PRO,ÁLVAREZ RIVERO,CARMEN,CÓRDOBA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09
1,FRENTE NACIONAL Y POPULAR,ANDRADA,GUILLERMO EDUARDO,CATAMARCA,FRENTE DE TODOS,2021-12-10,2027-12-09
2,PARTIDO POR LA JUSTICIA SOCIAL,ÁVILA,BEATRIZ LUISA,TUCUMÁN,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09
3,PRODUCCIÓN Y TRABAJO,BASUALDO,ROBERTO GUSTAVO,SAN JUAN,ALIANZA CAMBIEMOS SAN JUAN,2017-12-10,2023-12-09
4,FRENTE NACIONAL Y POPULAR,BENSUSÁN,DANIEL PABLO,LA PAMPA,FRENTE DE TODOS,2021-12-10,2027-12-09
5,UNIÓN CÍVICA RADICAL,BLANCO,PABLO DANIEL,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,2019-12-10,2025-12-09
6,UNIDAD FEDERAL,CATALFAMO,MARÍA EUGENIA,SAN LUIS,FRENTE UNIDAD JUSTICIALISTA SAN LUIS,2017-12-10,2023-12-09
7,FRENTE NACIONAL Y POPULAR,CLOSS,MAURICE FABIÁN,MISIONES,FRENTE RENOVADOR DE LA CONCORDIA,2017-12-10,2023-12-09
8,UNIÓN CÍVICA RADICAL,CORNEJO,ALFREDO VICTOR,MENDOZA,FRENTE CAMBIA MENDOZA,2021-12-10,2027-12-09
9,FRENTE NACIONAL Y POPULAR,CORPACCI,LUCIA BENIGNA,CATAMARCA,FRENTE DE TODOS,2021-12-10,2027-12-09
10,UNIÓN CÍVICA RADICAL,COSTA,EDUARDO RAÚL,SANTA CRUZ,UNIÓN PARA VIVIR MEJOR CAMBIEMOS,2017-12-10,2023-12-09
11,CAMBIO FEDERAL,CREXELL,CARMEN LUCILA,NEUQUÉN,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09
12,FRENTE PRO,DE ANGELI,ALFREDO LUIS,ENTRE RÍOS,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09
13,UNIDAD CIUDADANA,DI TULLIO,JULIANA,BUENOS AIRES,UNIDAD CIUDADANA,2019-12-10,2023-12-09
14,UNIDAD CIUDADANA,DOÑATE,CLAUDIO MARTÍN,RÍO NEGRO,FRENTE DE TODOS,2019-12-10,2025-12-09
15,UNIDAD CIUDADANA,DURÉ,MARÍA EUGENIA,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",FRENTE DE TODOS,2019-12-10,2025-12-09
16,UNIDAD FEDERAL,ESPÍNOLA,CARLOS MAURICIO,CORRIENTES,FRENTE TODOS,2021-12-10,2027-12-09
17,UNIÓN CÍVICA RADICAL,FAMA,FLAVIO SERGIO,CATAMARCA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09
18,UNIDAD CIUDADANA,FERNÁNDEZ SAGASTI,ANABEL,MENDOZA,FRENTE DE TODOS,2021-12-10,2027-12-09
19,UNIÓN CÍVICA RADICAL,FIAD,MARIO RAYMUNDO,JUJUY,FRENTE JUJEÑO CAMBIEMOS,2017-12-10,2023-12-09
20,UNIDAD CIUDADANA,GARCÍA LARRABURU,SILVINA MARCELA,RÍO NEGRO,FRENTE DE TODOS,2019-12-10,2025-12-09
21,UNIÓN CÍVICA RADICAL,GIACOPPO,SILVIA DEL ROSARIO,JUJUY,FRENTE JUJEÑO CAMBIEMOS,2017-12-10,2023-12-09
22,UNIDAD CIUDADANA,GIMÉNEZ,NORA DEL VALLE,SALTA,FRENTE DE TODOS,2019-12-10,2025-12-09
23,FRENTE PRO,GONZÁLEZ,GLADYS ESTHER,BUENOS AIRES,CAMBIEMOS BUENOS AIRES,2017-12-27,2023-12-09
24,FRENTE NACIONAL Y POPULAR,GONZÁLEZ,MARÍA TERESA MARGARITA,FORMOSA,FRENTE DE LA VICTORIA,2017-12-10,2023-12-09
25,FRENTE PRO,GONZÁLEZ RIOLLO,GABRIELA,SAN LUIS,AVANZAR Y CAMBIEMOS POR SAN LUIS,2021-12-09,2023-12-09
26,FRENTE NACIONAL Y POPULAR,GUERRA,RICARDO ANTONIO,LA RIOJA,FRENTE JUSTICIALISTA RIOJANO,2021-02-24,2023-12-09
27,FRENTE PRO,HUALA,MARÍA VICTORIA,LA PAMPA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09
28,UNIDAD CIUDADANA,IANNI,ANA MARÍA,SANTA CRUZ,FRENTE PARA LA VICTORIA,2017-12-10,2023-12-09
29,FRENTE PRO,JUEZ,LUIS ALFREDO,CÓRDOBA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09
30,UNIÓN CÍVICA RADICAL,JURI,MARIANA,MENDOZA,FRENTE CAMBIA MENDOZA,2021-12-10,2027-12-09
31,UNIÓN CÍVICA RADICAL,KRONEBERGER,DANIEL RICARDO,LA PAMPA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09
32,UNIDAD FEDERAL,KUEIDER,EDGARDO DARÍO,ENTRE RÍOS,FRENTE TODOS,2019-12-10,2025-12-09
33,UNIDAD CIUDADANA,LEAVY,SERGIO NAPOLEÓN,SALTA,FRENTE DE TODOS,2019-12-10,2025-12-09
34,FRENTE NACIONAL Y POPULAR,LEDESMA ABDALA DE ZAMORA,CLAUDIA,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,2019-12-10,2025-12-09
35,FRENTE NACIONAL Y POPULAR,LEWANDOWSKI,MARCELO NESTOR,SANTA FE,FRENTE DE TODOS,2021-12-10,2027-12-09
36,UNIDAD CIUDADANA,LINARES,CARLOS ALBERTO,CHUBUT,FRENTE DE TODOS,2021-12-10,2027-12-09
37,FRENTE NACIONAL Y POPULAR,LÓPEZ VALVERDE,CRISTINA DEL CARMEN,SAN JUAN,FRENTE TODOS,2017-12-10,2023-12-09
38,UNIÓN CÍVICA RADICAL,LOSADA,CAROLINA,SANTA FE,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09
39,UNIÓN CÍVICA RADICAL,LOUSTEAU,MARTÍN,CIUDAD AUTÓNOMA DE BUENOS AIRES,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09
40,UNIÓN CÍVICA RADICAL,MARTÍNEZ,JULIO CÉSAR,LA RIOJA,CAMBIEMOS FUERZA CÍVICA RIOJANA,2017-12-10,2023-12-09
41,FRENTE NACIONAL Y POPULAR,MAYANS,JOSÉ MIGUEL ÁNGEL,FORMOSA,FRENTE DE LA VICTORIA,2017-12-10,2023-12-09
42,FRENTE NACIONAL Y POPULAR,MENDOZA,SANDRA MARIELA,TUCUMÁN,FRENTE DE TODOS,2021-12-10,2027-12-09
43,FRENTE NACIONAL Y POPULAR,MONTENEGRO,GERARDO ANTENOR,SANTIAGO DEL ESTERO,FRENTE DE TODOS,2019-12-10,2025-12-09
44,FRENTE NACIONAL Y POPULAR,NEDER,JOSÉ EMILIO,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,2019-12-10,2025-12-09
45,UNIÓN CÍVICA RADICAL,OLALLA,STELLA MARIS,ENTRE RÍOS,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09
46,UNIDAD CIUDADANA,PARRILLI,OSCAR ISIDRO,NEUQUÉN,FRENTE DE TODOS,2019-12-10,2025-12-09
47,UNIÓN CÍVICA RADICAL,PETCOFF NAIDENOFF,LUIS CARLOS,FORMOSA,FRENTE AMPLIO FORMOSEÑO CAMBIEMOS,2017-12-10,2023-12-09
48,FRENTE NACIONAL Y POPULAR,PILATTI VERGARA,MARÍA INÉS,CHACO,FRENTE DE TODOS,2019-12-10,2025-12-09
49,FRENTE NACIONAL Y POPULAR,RECALDE,MARIANO,CIUDAD AUTÓNOMA DE BUENOS AIRES,FRENTE DE TODOS,2019-12-10,2025-12-09
50,FRENTE NACIONAL Y POPULAR,RODAS,ANTONIO JOSÉ,CHACO,FRENTE DE TODOS,2019-12-10,2025-12-09
51,UNIDAD CIUDADANA,RODRÍGUEZ,MATÍAS DAVID,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",FRENTE DE TODOS,2019-12-10,2025-12-09
52,FRENTE NACIONAL Y POPULAR,RODRÍGUEZ SAÁ,ADOLFO,SAN LUIS,FRENTE UNIDAD JUSTICIALISTA SAN LUIS,2017-12-10,2023-12-09
53,CAMBIO FEDERAL,ROMERO,JUAN CARLOS,SALTA,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09
54,UNIDAD CIUDADANA,SAPAG,SILVIA,NEUQUÉN,FRENTE DE TODOS,2019-12-10,2025-12-09
55,UNIÓN CÍVICA RADICAL,SCARPIN,DIONISIO FERNANDO,SANTA FE,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09
56,FRENTE PRO,SCHIAVONI,HUMBERTO LUIS ARTURO,MISIONES,FRENTE CAMBIEMOS,2017-12-10,2023-12-09
57,UNIDAD FEDERAL,SNOPEK,GUILLERMO EUGENIO MARIO,JUJUY,FRENTE JUSTICIALISTA,2017-12-10,2023-12-09
58,MISIONES,SOLARI  QUINTANA,MAGDALENA,MISIONES,FRENTE RENOVADOR DE LA CONCORDIA,2017-12-10,2023-12-09
59,FRENTE PRO,TAGLIAFERRI,GUADALUPE,CIUDAD AUTÓNOMA DE BUENOS AIRES,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09
60,UNIÓN CÍVICA RADICAL,TAPIA,MARÍA BELÉN,SANTA CRUZ,UNIÓN PARA VIVIR MEJOR CAMBIEMOS,2017-12-10,2023-12-09
61,CAMBIO FEDERAL,TERENZI,EDITH ELIZABETH,CHUBUT,JUNTOS POR EL CAMBIO CHUBUT,2021-12-10,2027-12-09
62,FRENTE PRO,TORELLO,JOSÉ MARÍA,BUENOS AIRES,CAMBIEMOS BUENOS AIRES,2022-02-24,2023-12-09
63,CAMBIO FEDERAL,TORRES,IGNACIO AGUSTÍN,CHUBUT,JUNTOS POR EL CAMBIO CHUBUT,2021-12-10,2027-12-09
64,FRENTE NACIONAL Y POPULAR,UÑAC,JOSÉ RUBÉN,SAN JUAN,FRENTE TODOS,2017-12-10,2023-12-09
65,UNIÓN CÍVICA RADICAL,VALENZUELA,MERCEDES GABRIELA,CORRIENTES,ECO + VAMOS CORRIENTES,2021-12-10,2027-12-09
66,HAY FUTURO ARGENTINA,VEGA,MARÍA CLARA DEL VALLE,LA RIOJA,CAMBIEMOS FUERZA CÍVICA RIOJANA,2019-12-20,2023-12-09
67,UNIDAD FEDERAL,VIGO,ALEJANDRA MARÍA,CÓRDOBA,HACEMOS POR CÓRDOBA,2021-12-10,2027-12-09
68,UNIÓN CÍVICA RADICAL,VISCHI,EDUARDO ALEJANDRO,CORRIENTES,ECO + VAMOS CORRIENTES,2021-12-10,2027-12-09
69,JUNTOS SOMOS RÍO NEGRO,WERETILNECK,ALBERTO EDGARDO,RÍO NEGRO,JUNTOS SOMOS RIO NEGRO,2019-12-10,2025-12-09
70,FRENTE NACIONAL Y POPULAR,YEDLIN,PABLO RAÚL,TUCUMÁN,FRENTE DE TODOS,2021-12-10,2027-12-09
71,UNIÓN CÍVICA RADICAL,ZIMMERMANN,VICTOR,CHACO,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09
