Distrito,La Libertad Avanza,Juntos por el Cambio,Unión por la Patria
Nivel Nacional,30.04,28.27,27.27
Buenos Aires,24.52,29.13,32.12
Capital Federal,17.77,48.31,23.58
Catamarca,24.72,20.48,40.23
Chaco,28.93,26.55,34.64
Chubut,39.4,24.33,22.82
Cordoba,33.61,25.16,8.66
Corrientes,29.18,34.28,29.38
Entre Rios,21.98,32.11,29.03
Formosa,25.5,21.7,46.61
Jujuy,39.83,23.79,20.68
La Pampa,32.77,28.37,28.15
La Rioja,36.42,20.23,31.48
Mendoza,44.8,28.24,16.86
Misiones,43.03,18.97,27.15
Neuquen,39.04,22.82,19.76
Rio Negro,37.29,21.16,26.7
Salta,49.38,17.19,24.13
San Juan,34.17,27.89,29.04
San Luis,47.85,23.51,17.41
Santa Cruz,28.96,15.6,21.35
Santa Fe,35.19,31.57,21.06
Santiago del Estero,26.97,10.61,53.28
Tierra del Fuego,35.28,20.8,29.25
Tucuman,35.95,21.71,32.84